Receiver_1_inlet_temp,Receiver_2_particle_mass_flow,Operating_mode_3,Operating_mode_1,Operating_mode_2,Receiver_3_HTF_mass_flow,PC_efficiency,TES_V_hot_tank_initial,PC_power,Receiver_1_outlet_temp,PC_outlet_temp,DNI,Receiver_2_inlet_temp,Tower_HTF_outlet_temp,Receiver_2_outlet_temp,Receiver_3_inlet_temp,PC_mass_flow,Receiver_3_outlet_temp,HX_1_particle_outlet_temp,HX_2_particle_outlet_temp,HX_3_particle_outlet_temp,Receiver_1_HTF_mass_flow,Receiver_1_particle_mass_flow,Receiver_2_HTF_mass_flow,Receiver_3_particle_mass_flow,TES_discharge_mass_flow,Tower_HTF_inlet_temp,TES_hot_tank_temp,TES_cold_tank_temp,TES_charge_mass_flow,PC_inlet_temp
C,kg/hr,-,-,-,kg/hr,-,-,MWe,C,C,W/m^2,C,C,C,C,kg/hr,C,C,C,C,kg/hr,kg/hr,kg/hr,kg/hr,kg/hr,C,C,C,kg/hr,C
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.699201,538.699201,538.699201,0,0,0,0,0,561.200000,684.668403,538.638542,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.638542,538.638542,538.638542,0,0,0,0,0,561.200000,683.739306,538.577743,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.577743,538.577743,538.577743,0,0,0,0,0,561.200000,682.810139,538.516875,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.516875,538.516875,538.516875,0,0,0,0,0,561.200000,681.882292,538.455972,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.455972,538.455972,538.455972,0,0,0,0,0,561.200000,680.957014,538.395243,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.395243,538.395243,538.395243,0,0,0,0,0,561.200000,680.034444,538.334583,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,9,561.200000,561.200000,561.200000,561.200000,0,561.200000,538.334583,538.334583,538.334583,0,0,0,0,0,561.200000,679.113056,538.273958,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.273958,538.273958,538.273958,0,0,0,0,0,561.200000,678.194375,538.213472,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.213472,538.213472,538.213472,0,0,0,0,0,561.200000,677.278333,538.153090,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.153090,538.153090,538.153090,0,0,0,0,0,561.200000,676.363472,538.092708,0,700
