a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.635035,550.635035,550.635035,700,537.500000,0,0,0,0,0,0,550.571701,677.079444,3
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.571701,550.571701,550.571701,700,537.500000,0,0,0,0,0,0,550.508403,675.522292,3
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.508403,550.508403,550.508403,700,537.500000,0,0,0,0,0,0,550.445104,673.968750,3
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.445104,550.445104,550.445104,700,537.500000,0,0,0,0,0,0,550.381910,672.421111,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.381910,550.381910,550.381910,700,537.500000,0,0,0,0,0,0,550.318715,670.877014,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.318715,550.318715,550.318715,700,537.500000,0,0,0,0,0,0,550.255556,669.336528,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.255556,550.255556,550.255556,700,537.500000,0,0,0,0,0,0,550.192396,667.799583,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.192396,550.192396,550.192396,700,537.500000,0,0,0,0,0,0,550.129236,666.266181,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.129236,550.129236,550.129236,700,537.500000,0,0,0,0,0,0,550.066076,664.736319,4
0,0,0,362,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.066076,550.066076,550.066076,700,537.500000,0,0,0,0,0,0,550.003056,663.212292,5
535932.053333,562916.160000,665175.751111,214,0,0,0.333084,0.386929,0.403224,0.230344,0,0,0,0,0,0,0,0,0,-1.939840,0,0,0,0,0,0,0,0,0,550.003056,550.003056,550.003056,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,549.940382,661.698750,8
518437.404444,547322.417778,698246.897778,400,0,0,0,0,0,0,-nan(ind),0.690377,0.698801,0.658286,0,0,0,0,0,-0.606175,0,0,0,0,0,0,0,0,0,549.940382,549.940382,549.940382,700,537.500000,0,0,0,0,0,0,549.877951,660.193264,10
