type,power,tht,az,zen,sunid,eta1,eta2,eta3,a1,a2,a3
1,66.8,77,260.9989,59.6425,18,0.606,0.5274,0.7012,32569,36852,27905
1,66.8,77,104.9787,63.4725,19,0.6116,0.7048,0.5282,32188,27711,37426
1,66.8,77,131.4383,41.7413,20,0.6828,0.734,0.6402,32569,30194,34563
1,66.8,77,180.000005,31.1691,21,0.6911,0.7066,0.7022,32864,32142,32320
1,66.8,77,228.4937,41.7875,22,0.6663,0.6365,0.7307,32809,34113,30404
1,66.8,77,254.9035,63.5441,23,0.6055,0.5248,0.7188,32437,36984,27905
1,66.8,77,110.3156,67.3367,24,0.6105,0.6882,0.5163,31956,27758,37613
1,66.8,77,136.6854,46.7518,25,0.6841,0.7294,0.6459,32716,30140,34470
1,66.8,77,179.96573,37.3717,26,0.7,0.7138,0.7097,32654,32212,32460
1,66.8,77,223.2577,46.8026,27,0.6743,0.6411,0.7248,32701,34206,30419
1,66.8,77,249.5732,67.415,28,0.6076,0.5171,0.7112,32297,37132,27897
1,66.8,77,115.8588,71.7842,29,0.5834,0.6583,0.5017,32157,27913,37256
1,66.8,77,141.5371,52.5042,30,0.6917,0.7295,0.6471,32476,30210,34641
1,66.8,77,179.97203,44.2045,31,0.7119,0.7141,0.7035,32623,32173,32530
1,66.8,77,218.4204,52.5555,32,0.6869,0.6469,0.7431,32522,34416,30388
1,66.8,77,244.0448,71.8635,33,0.5863,0.5016,0.6712,32336,36844,28146
1,66.8,77,121.0339,76.3037,34,0.5356,0.5997,0.4617,32088,28277,36961
1,66.8,77,145.6153,58.3232,35,0.6918,0.7416,0.6437,32382,30155,34788
1,66.8,77,180.000005,50.9155,36,0.7034,0.7095,0.7177,32693,32134,32499
1,66.8,77,214.3497,58.3627,37,0.6942,0.6451,0.7297,32522,34284,30520
1,66.8,77,238.8858,76.3673,38,0.538,0.4581,0.6015,32119,36666,28541
1,66.8,77,126.541,81.4167,39,0.3874,0.4088,0.3497,32258,29752,35316
1,66.8,77,149.5643,64.8729,40,0.6763,0.7266,0.6372,32468,30225,34633
1,66.8,77,180.000005,58.3033,41,0.702,0.7113,0.7182,32592,32235,32499
1,66.8,77,210.4317,64.8717,42,0.6818,0.641,0.7334,32569,34260,30497
1,66.8,77,233.4556,81.4148,43,0.3889,0.3505,0.4164,32514,34672,30140
0,333,115,70.425,76.8492,0,0.4341,0.6001,0.3244,196086,137934,266459
0,333,115,85.3915,52.8545,1,0.5967,0.6547,0.4194,179450,159565,261464
0,333,115,105.5788,28.4391,2,0.6462,0.6108,0.4847,178335,184058,238087
0,333,115,180.000005,11.4294,3,0.6626,0.553,0.5492,177559,210733,212188
0,333,115,254.415,28.4343,4,0.6455,0.4862,0.6059,178432,236632,185416
0,333,115,274.6048,52.8492,5,0.5994,0.4165,0.6525,179159,260785,160535
0,333,115,289.571,76.8447,6,0.4392,0.3203,0.6059,194873,267575,138031
0,333,115,76.173,80.5559,7,0.3791,0.5139,0.2669,189393,136334,274753
0,333,115,92.6509,56.1569,8,0.6239,0.6489,0.3956,169071,158304,273104
0,333,115,116.5394,32.3797,9,0.6635,0.6039,0.4703,172078,184494,243907
0,333,115,180.000005,18.2432,10,0.677,0.5441,0.5401,172369,213352,214758
0,333,115,243.393,32.407,11,0.6629,0.4714,0.5984,172127,242452,185901
0,333,115,267.2524,56.2034,12,0.6272,0.393,0.6472,168635,272570,159274
0,333,115,283.709,80.6307,13,0.3837,0.2621,0.519,188762,276450,135267
0,333,115,98.8891,59.5785,14,0.6465,0.6439,0.3766,160147,157140,283192
0,333,115,124.6163,36.7119,15,0.6776,0.5968,0.4589,166598,184931,248951
0,333,115,180.000005,24.546,16,0.6886,0.5354,0.531,167810,215631,217038
0,333,115,235.3146,36.7534,17,0.677,0.4603,0.5947,166695,247302,186483
0,333,115,260.9989,59.6425,18,0.6512,0.3736,0.6424,159905,282561,158013
0,333,115,104.9787,63.4725,19,0.6631,0.6343,0.3572,152096,155443,292940
0,333,115,131.4383,41.7413,20,0.6907,0.5911,0.4452,161117,185367,253995
0,333,115,180.000005,31.1691,21,0.6994,0.5253,0.5207,163251,217862,219366
0,333,115,228.4937,41.7875,22,0.6917,0.4466,0.5856,161117,252491,186871
0,333,115,254.9035,63.5441,23,0.6676,0.3538,0.6354,151902,292310,156267
0,333,115,110.3156,67.3367,24,0.6632,0.6196,0.3367,146519,153018,300943
0,333,115,136.6854,46.7518,25,0.7024,0.5846,0.4326,156267,185416,258796
0,333,115,179.96573,37.3717,26,0.7088,0.5147,0.5099,159177,219802,221500
0,333,115,223.2577,46.8026,27,0.7035,0.4331,0.5787,156364,257050,187065
0,333,115,249.5732,67.415,28,0.6696,0.3321,0.6222,146034,300894,153551
0,333,115,115.8588,71.7842,29,0.6466,0.5956,0.3114,141814,150011,308654
0,333,115,141.5371,52.5042,30,0.7105,0.5696,0.4177,151466,185319,263695
0,333,115,179.97203,44.2045,31,0.7157,0.5016,0.497,154909,221936,223634
0,333,115,218.4204,52.5555,32,0.7139,0.4184,0.5644,151466,261852,187162
0,333,115,244.0448,71.8635,33,0.6536,0.3057,0.5976,141232,309139,150108
0,333,115,121.0339,76.3037,34,0.595,0.5531,0.2839,141814,147877,310788
0,333,115,145.6153,58.3232,35,0.7152,0.5587,0.402,147052,185125,268302
0,333,115,180.000005,50.9155,36,0.7185,0.4875,0.483,151029,223779,225671
0,333,115,214.3497,58.3627,37,0.7211,0.4025,0.5546,146907,266459,187113
0,333,115,238.8858,76.3673,38,0.5998,0.2784,0.5559,141426,311467,147586
0,333,115,126.541,81.4167,39,0.4307,0.4405,0.2424,157819,149332,293328
0,333,115,149.5643,64.8729,40,0.7147,0.5426,0.3824,142396,185319,272764
0,333,115,180.000005,58.3033,41,0.7198,0.4694,0.4677,146955,226107,227417
0,333,115,210.4317,64.8717,42,0.7202,0.3823,0.537,142396,270727,187356
0,333,115,233.4556,81.4148,43,0.4358,0.2408,0.4455,158353,292552,149574
0,333,172,70.425,76.8492,0,0.4333,0.5681,0.2976,165676,123918,244295
0,333,172,85.3915,52.8545,1,0.6495,0.724,0.4512,160341,140020,233528
0,333,172,105.5788,28.4391,2,0.6852,0.6931,0.5433,165773,160099,208017
0,333,172,180.000005,11.4294,3,0.7008,0.6313,0.6241,166501,182797,184591
0,333,172,254.415,28.4343,4,0.6887,0.5485,0.6832,165385,206077,162427
0,333,172,274.6048,52.8492,5,0.6597,0.452,0.7194,158935,233140,141814
0,333,172,289.571,76.8447,6,0.4437,0.2924,0.5799,163882,247302,122705
0,333,172,76.173,80.5559,7,0.3226,0.4293,0.2306,169556,124209,240124
0,333,172,92.6509,56.1569,8,0.6705,0.7191,0.4314,153212,139001,241676
0,333,172,116.5394,32.3797,9,0.6995,0.6896,0.5317,161505,160293,212091
0,333,172,180.000005,18.2432,10,0.7141,0.6241,0.6177,162766,184688,186434
0,333,172,243.393,32.407,11,0.7036,0.5372,0.6791,161069,210005,162815
0,333,172,267.2524,56.2034,12,0.6803,0.4324,0.7156,152290,240754,140844
